station_name,line,status
东明路,13号线,active
华鹏路,13号线,active
下南路,13号线,active
北蔡,13号线,active
陈春路,13号线,active
莲溪路,13号线,active
华夏中路,13号线,active
中科路,13号线,active
学林路,13号线,active
哥白尼路,13号线,active
张江路,13号线,active
封浜,14号线,active
金园五路,14号线,active
临洮路,14号线,active
嘉怡路,14号线,active
定边路,14号线,active
真新新村,14号线,active
真光路,14号线,active
铜川路,14号线,active
真如,14号线,active
中宁路,14号线,active
曹杨路,14号线,active
武定路,14号线,active
静安寺,14号线,active
黄陂南路,14号线,active
大世界,14号线,active
豫园,14号线,active
陆家嘴,14号线,active
浦东南路,14号线,active
浦东大道,14号线,active
源深路,14号线,active
昌邑路,14号线,active
歇浦路,14号线,active
龙居路,14号线,active
云山路,14号线,active
蓝天路,14号线,active
黄杨路,14号线,active
锦绣东路,14号线,active
桂桥路,14号线,active
金粤路,14号线,active
浦东足球场,14号线,active
曹路,14号线,active
顾村公园,15号线,active
锦秋路,15号线,active
丰翔路,15号线,active
南大路,15号线,active
祁安路,15号线,active
古浪路,15号线,active
武威东路,15号线,active
上海西站,15号线,active
铜川路,15号线,active
梅岭北路,15号线,active
大渡河路,15号线,active
长风公园,15号线,active
娄山关路,15号线,active
红宝石路,15号线,active
姚虹路,15号线,active
吴中路,15号线,active
桂林路,15号线,active
桂林公园,15号线,active
上海南站,15号线,active
华东理工大学,15号线,active
罗秀路,15号线,active
朱梅路,15号线,active
景西路,15号线,active
虹梅南路,15号线,active
景洪路,15号线,active
曙建路,15号线,active
双柏路,15号线,active
元江路,15号线,active
永德路,15号线,active
紫竹高新区,15号线,active
龙阳路,16号线,active
华夏中路,16号线,active
罗山路,16号线,active
周浦东,16号线,active
鹤沙航城,16号线,active
航头东,16号线,active
新场,16号线,active
野生动物园,16号线,active
惠南,16号线,active
惠南东,16号线,active
书院,16号线,active
临港大道,16号线,active
滴水湖,16号线,active
虹桥火车站,17号线,active
诸光路,17号线,active
蟠龙路,17号线,active
徐盈路,17号线,active
徐泾北城,17号线,active
嘉松中路,17号线,active
赵巷,17号线,active
汇金路,17号线,active
青浦新城,17号线,active
漕盈路,17号线,active
淀山湖大道,17号线,active
朱家角,17号线,active
东方绿舟,17号线,active
长江南路,18号线,active
殷高路,18号线,active
上海财经大学,18号线,active
复旦大学,18号线,active
国权路,18号线,active
抚顺路,18号线,active
江浦路,18号线,active
江浦公园,18号线,active
丹阳路,18号线,active
昌邑路,18号线,active
民生路,18号线,active
杨高中路,18号线,active
迎春路,18号线,active
龙阳路,18号线,active
芳芯路,18号线,active
北中路,18号线,active
莲溪路,18号线,active
御桥,18号线,active
康桥,18号线,active
周浦,18号线,active
繁荣路,18号线,active
沈梅路,18号线,active
鹤涛路,18号线,active
下沙,18号线,active
航头,18号线,active
虹桥2号航站楼,市域机场线,active
中春路,市域机场线,active
景洪路,市域机场线,active
三林南,市域机场线,active
康桥东,市域机场线,active
上海国际旅游度假区,市域机场线,active
浦东1号2号航站楼,市域机场线,active
沈杜公路,浦江线,active
三鲁公路,浦江线,active
闵瑞路,浦江线,active
浦航路,浦江线,active
东城一路,浦江线,active
汇臻路,浦江线,active
